molecule_chembl_id,IC50,units,smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
CHEMBL3665212,0.04856,nM,CCN1CCN(c2ncc(-c3cnc4[nH]ccc4n3)c(N[C@H]3CCCN(S(C)(=O)=O)C3)n2)CC1,10.3137213219328,485.232142232,9,2,1.3927000000000003,True
CHEMBL3665120,0.04895,nM,CC(=O)N1CC[C@@H](Nc2ncccc2-c2cnc3[nH]ccc3n2)C1,10.310247303860843,322.154209196,5,2,2.0526,True
CHEMBL3650987,0.049,nM,C=C(C)C(=O)Nc1cc(-c2ncnc3[nH]cc(C(=O)OCC)c23)cc(OC)n1,10.309803919971486,381.143704088,7,2,2.7198,True
CHEMBL3651014,0.049,nM,C=C(C)C(=O)Nc1cc(-c2ncnc3[nH]cc(C(=O)OCC)c23)ccn1,10.309803919971486,351.133139404,6,2,2.7112000000000007,True
CHEMBL3665130,0.04931,nM,COC(=O)N1CCCCC(Nc2ncccc2-c2cnc3[nH]ccc3n2)C1,10.307064997468862,366.18042394400004,6,2,3.0527000000000006,True
CHEMBL3665196,0.04983,nM,CS(=O)(=O)N1CCC[C@H](Nc2nc(N3CCS(=O)(=O)CC3)ncc2-c2cnc3[nH]ccc3n2)C1,10.302509112828943,506.15184331200004,10,2,0.4856000000000023,True
CHEMBL3650999,0.05,nM,C=C(C)C(=O)Nc1cc(F)cc(-c2ncnc3[nH]cc(C(=O)OCC)c23)c1,10.301029995663981,368.128468624,5,2,3.455300000000001,True
CHEMBL3665198,0.05038,nM,CS(=O)(=O)N1CCC[C@H](Nc2nc(NCCN)ncc2-c2cnc3[nH]ccc3n2)C1,10.297741836837906,431.1851920400001,9,4,0.6214000000000021,True
CHEMBL3665148,0.05099,nM,CCS(=O)(=O)N1CCCC(Nc2nc(C)ccc2-c2cnc3[nH]ccc3n2)C1,10.292514988032526,400.16814500800007,6,2,2.5543200000000006,True
CHEMBL3651037,0.052,nM,C=C(CNS(C)(=O)=O)C(=O)Nc1cccc(-c2ncnc3[nH]cc(C(=O)OCC)c23)c1,10.2839966563652,443.12633977200005,7,3,1.845499999999999,True
