,Unnamed: 0,molecule_chembl_id,IC50,units,smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
1355,1355,CHEMBL438075,1820.0,nM,CC(=O)Nc1ccc(C#Cc2cncnc2Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)cc1,5.739928612014925,486.12588178,5,2,5.949900000000003,True
1356,1356,CHEMBL5190408,1830.0,nM,Cc1ccc(NCc2coc(/C=C/c3ccc(C(F)(F)F)cc3)n2)cc1,5.73754891026957,358.12929782400005,3,1,5.784320000000004,True
1357,1357,CHEMBL5204707,1840.0,nM,COc1ccc(NCc2coc(/C=C/c3ccc(C(F)(F)F)cc3)n2)cc1,5.735182176990463,374.1242124440001,4,1,5.484500000000003,True
1358,1358,CHEMBL589561,1870.0,nM,Oc1c(Br)cccc1CN(Cc1ccc(F)cc1)C(=S)Nc1ccccc1,5.7281583934635005,444.0307245160001,2,2,5.693000000000003,True
1359,1359,CHEMBL334255,1878.0,nM,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Br-],5.726304412069908,383.21876231600004,0,0,3.4594000000000014,True
1360,1360,CHEMBL601040,1880.0,nM,Cc1ccc(NC(=O)c2ccc(N(CCCl)CCCl)cc2)cc1,5.72584215073632,350.09526861999996,2,1,4.531320000000004,True
1361,1361,CHEMBL2325095,1890.0,nM,c1ccc(C2=NN(c3ccccc3)C(c3ccc4ccccc4c3)C2)cc1,5.723538195826755,348.16264864,2,0,6.1955000000000044,True
1362,1362,CHEMBL1079742,1890.0,nM,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1.Cl,5.723538195826755,429.1455339279999,7,1,3.8269000000000033,True
1363,1363,CHEMBL3325473,1900.0,nM,COC(=O)C1=C(N)N(c2cccnc2)C2=C(C(=O)CCC2)C1c1cc2ccccc2n2nnnc12,5.721246399047171,467.1705875320001,10,1,2.6267000000000005,True
1364,1364,CHEMBL2325093,1910.0,nM,Cc1ccc(C2=NN(c3ccccc3)C(c3cccc4ccccc34)C2)cc1,5.718966632752272,362.178298704,2,0,6.503920000000005,True
